client,#Trans,total_time,throughput,avg_latency,median_latency,95th percentile,99th percentile
0,8132,8180.242745,0.06026716,22239.75691,152.35689,35398.06133,140682.9073
1,25239,4134.586684,0.121898521,8203.545007,99.33340549,123759.5207,135880.2332
2,16038,1768.039224,0.285061549,2290.179053,98.35792565,874.2456233,133218.9684
3,10224,5902.705932,0.085553982,14698.7059,202.1540756,134287.9657,137896.5323
4,13082,3245.908706,0.155272389,18291.07905,173.9017523,85190.7242,130325.8972
5,5253,10068.18223,0.031584649,31660.95041,219.6661234,134572.3896,137639.6308
6,13121,7290.178532,0.069408451,8210.783982,139.0543785,135939.0705,137290.5834
7,11070,2526.264962,0.199504014,14179.02795,112.7959082,134592.0684,136182.9485
8,6605,2179.581256,0.183062686,6412.435253,102.2584608,79178.59248,137941.9453
9,10862,6210.895823,0.081147714,13403.75499,92.14986785,56219.04893,104829.7591
10,42208,5819.163089,0.069597637,14368.30392,125.5714893,134658.0821,136956.0713
11,46437,1539.511256,0.263070503,3801.262361,123.3415604,601.3990879,136969.5547
12,8762,9319.079054,0.056765266,6239.075923,182.3491049,129.7905325,90218.97824
13,14307,6103.895932,0.082734045,15219.78502,149.8275609,970.592344,156231.0759
14,7085,5210.734252,0.082521959,5120.899052,89.72385923,48239.09843,120589.2375
15,11643,10694.04408,0.047222547,21176.32491,134.1142654,134107.6983,138048.5082
16,70682,931.45,0.220086961,4543.605096,104.4752598,796.7887402,136036.2487
17,67372,938.8030562,0.322751399,3098.359922,101.9244194,547.7569342,135315.4649
18,11034,7535.601784,0.066749812,14981.31567,127.712965,134002.9723,138863.2631
19,33805,2652.619726,0.152302268,6565.890411,119.3692684,56907.80782,136954.1979
